Test ID,Test Folder,Category,Test Description,Precondition,Test Steps,Expected Result,Automated,Actual Result,Status,Notes
TC-018,/mnt/e/workspace/rem_line_suit/utf8/test_suite/05_keyword_search,Keyword Search,[PASS] finds exact keyword,1000-line structured file generated,Run -w ITEM-0420 --dry-run; verify match preview shown,Match preview shown containing ITEM-0420,Yes,See Status,PASS,2299 ms
TC-019,/mnt/e/workspace/rem_line_suit/utf8/test_suite/05_keyword_search,Keyword Search,[PASS] shows match preview,1000-line structured file generated,Run -w ITEM-0420 --dry-run; verify match preview shown,Match preview shown containing ITEM-0420,Yes,See Status,PASS,2299 ms
TC-020,/mnt/e/workspace/rem_line_suit/utf8/test_suite/06_keyword_delete,Keyword Delete,[PASS] deletes multiple matching lines,1000-line structured file generated,"Run -w CAT=A --yes; verify matching lines removed, footer valid",All CAT=A lines removed; footer valid,Yes,See Status,PASS,2481 ms
TC-021,/mnt/e/workspace/rem_line_suit/utf8/test_suite/06_keyword_delete,Keyword Delete,[PASS] footer valid after bulk delete,1000-line structured file generated,"Run -w CAT=A --yes; verify matching lines removed, footer valid",All CAT=A lines removed; footer valid,Yes,See Status,PASS,2481 ms
TC-022,/mnt/e/workspace/rem_line_suit/utf8/test_suite/07_position_filter,Position Filter,[PASS] finds matches in position range,1000-line structured file generated,Run -w ITEM --pos 10-20 --dry-run; verify matches reported,Matches reported only for characters within pos 10-20,Yes,See Status,PASS,2239 ms
TC-023,/mnt/e/workspace/rem_line_suit/utf8/test_suite/08_replace_preview,Replace,[PASS] shows original lines,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --dry-run; verify before/after shown,Original and Replaced lines shown for each ERROR match,Yes,See Status,PASS,75 ms
TC-024,/mnt/e/workspace/rem_line_suit/utf8/test_suite/08_replace_preview,Replace,[PASS] shows replaced lines,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --dry-run; verify before/after shown,Original and Replaced lines shown for each ERROR match,Yes,See Status,PASS,75 ms
TC-025,/mnt/e/workspace/rem_line_suit/utf8/test_suite/08_replace_preview,Replace,[PASS] shows replacement text,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --dry-run; verify before/after shown,Original and Replaced lines shown for each ERROR match,Yes,See Status,PASS,75 ms
TC-026,/mnt/e/workspace/rem_line_suit/utf8/test_suite/09_replace_text,Replace,[PASS] line count unchanged after replace,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --yes; verify replacement applied,Line count unchanged; RESOLVED present; ERROR001 absent,Yes,See Status,PASS,121 ms
TC-027,/mnt/e/workspace/rem_line_suit/utf8/test_suite/09_replace_text,Replace,[PASS] replacement applied,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --yes; verify replacement applied,Line count unchanged; RESOLVED present; ERROR001 absent,Yes,See Status,PASS,121 ms
TC-028,/mnt/e/workspace/rem_line_suit/utf8/test_suite/09_replace_text,Replace,[PASS] original text removed,11-line test file with ERROR/INFO/WARN lines,Run -w ERROR --replace-pos 1-8 --replace-txt RESOLVED --yes; verify replacement applied,Line count unchanged; RESOLVED present; ERROR001 absent,Yes,See Status,PASS,121 ms
TC-029,/mnt/e/workspace/rem_line_suit/utf8/test_suite/10_replace_with_pos,Replace,[PASS] replace with pos filter works,11-line test file with ERROR/INFO/WARN lines,Run --pos 1-5 -w ERROR --replace-pos/txt; verify scoped replace works,FIXED___ present in file after scoped replace,Yes,See Status,PASS,119 ms
TC-030,/mnt/e/workspace/rem_line_suit/utf8/test_suite/11_replace_tracking,Replace / Audit Trail,[PASS] modified file created,11-line test file with ERROR/INFO/WARN lines,Run replace --yes; verify _modified_ file created with originals; repeat with --no-modified,_modified_ contains originals; --no-modified skips file creation but replacement still applies,Yes,See Status,PASS,224 ms
TC-031,/mnt/e/workspace/rem_line_suit/utf8/test_suite/11_replace_tracking,Replace / Audit Trail,[PASS] modified file contains original lines,11-line test file with ERROR/INFO/WARN lines,Run replace --yes; verify _modified_ file created with originals; repeat with --no-modified,_modified_ contains originals; --no-modified skips file creation but replacement still applies,Yes,See Status,PASS,224 ms
TC-032,/mnt/e/workspace/rem_line_suit/utf8/test_suite/11_replace_tracking,Replace / Audit Trail,[PASS] --no-modified replace: no modified file created,11-line test file with ERROR/INFO/WARN lines,Run replace --yes; verify _modified_ file created with originals; repeat with --no-modified,_modified_ contains originals; --no-modified skips file creation but replacement still applies,Yes,See Status,PASS,224 ms
TC-033,/mnt/e/workspace/rem_line_suit/utf8/test_suite/11_replace_tracking,Replace / Audit Trail,[PASS] --no-modified replace: line count unchanged,11-line test file with ERROR/INFO/WARN lines,Run replace --yes; verify _modified_ file created with originals; repeat with --no-modified,_modified_ contains originals; --no-modified skips file creation but replacement still applies,Yes,See Status,PASS,224 ms
TC-034,/mnt/e/workspace/rem_line_suit/utf8/test_suite/11_replace_tracking,Replace / Audit Trail,[PASS] --no-modified replace: replacement applied,11-line test file with ERROR/INFO/WARN lines,Run replace --yes; verify _modified_ file created with originals; repeat with --no-modified,_modified_ contains originals; --no-modified skips file creation but replacement still applies,Yes,See Status,PASS,224 ms
TC-035,/mnt/e/workspace/rem_line_suit/utf8/test_suite/12_backup_creation,Backup,[PASS] backup file created,100-line structured file generated,Run -l 50 --yes; verify _backup file created at original line count,_backup exists at original line count (102),Yes,See Status,PASS,373 ms
TC-036,/mnt/e/workspace/rem_line_suit/utf8/test_suite/12_backup_creation,Backup,[PASS] backup has original line count,100-line structured file generated,Run -l 50 --yes; verify _backup file created at original line count,_backup exists at original line count (102),Yes,See Status,PASS,373 ms
TC-037,/mnt/e/workspace/rem_line_suit/utf8/test_suite/13_backup_reuse,Backup,[PASS] backup file not recreated,"100-line structured file, one prior backup",Run two operations; verify backup not overwritten; create truncated backup and verify it is replaced,Second operation does not overwrite backup; truncated backup is replaced with warning,Yes,See Status,PASS,1814 ms
TC-038,/mnt/e/workspace/rem_line_suit/utf8/test_suite/13_backup_reuse,Backup,[PASS] incomplete backup detected and replaced,"100-line structured file, one prior backup",Run two operations; verify backup not overwritten; create truncated backup and verify it is replaced,Second operation does not overwrite backup; truncated backup is replaced with warning,Yes,See Status,PASS,1814 ms
TC-039,/mnt/e/workspace/rem_line_suit/utf8/test_suite/13_backup_reuse,Backup,[PASS] backup replaced with full-size copy,"100-line structured file, one prior backup",Run two operations; verify backup not overwritten; create truncated backup and verify it is replaced,Second operation does not overwrite backup; truncated backup is replaced with warning,Yes,See Status,PASS,1814 ms
TC-040,/mnt/e/workspace/rem_line_suit/utf8/test_suite/14_rollback,Rollback,[PASS] changes applied,100-line structured file generated,Delete two lines; run --rollback; verify line count restored,File restored to pre-operation line count,Yes,See Status,PASS,502 ms
TC-041,/mnt/e/workspace/rem_line_suit/utf8/test_suite/14_rollback,Rollback,[PASS] rollback restores original,100-line structured file generated,Delete two lines; run --rollback; verify line count restored,File restored to pre-operation line count,Yes,See Status,PASS,502 ms
TC-042,/mnt/e/workspace/rem_line_suit/utf8/test_suite/15_rollback_no_backup,Rollback,[PASS] rollback fails without backup,"100-line structured file, no backup present",Remove backup file; run --rollback; verify error message,Error message mentioning backup not found,Yes,See Status,PASS,257 ms
TC-043,/mnt/e/workspace/rem_line_suit/utf8/test_suite/16_regex_matching,Regex,[PASS] regex finds pattern,1000-line structured file generated,Run -w 'ITEM-0[0-9]{3}' --regex --dry-run; verify matches found,Matches found for ITEM-0NNN pattern,Yes,See Status,PASS,4605 ms
TC-044,/mnt/e/workspace/rem_line_suit/utf8/test_suite/16_regex_matching,Regex,[PASS] shows matches,1000-line structured file generated,Run -w 'ITEM-0[0-9]{3}' --regex --dry-run; verify matches found,Matches found for ITEM-0NNN pattern,Yes,See Status,PASS,4605 ms
TC-045,/mnt/e/workspace/rem_line_suit/utf8/test_suite/17_regex_vs_literal,Regex,[PASS] literal [0-9] finds nothing,1000-line structured file generated,Run '[0-9]' literal (expect no match) then --regex (expect matches),Literal finds nothing; regex finds many,Yes,See Status,PASS,2343 ms
TC-046,/mnt/e/workspace/rem_line_suit/utf8/test_suite/17_regex_vs_literal,Regex,[PASS] regex [0-9] finds many matches,1000-line structured file generated,Run '[0-9]' literal (expect no match) then --regex (expect matches),Literal finds nothing; regex finds many,Yes,See Status,PASS,2343 ms
TC-047,/mnt/e/workspace/rem_line_suit/utf8/test_suite/18_regex_delete,Regex Delete,[PASS] regex delete reduces lines,1000-line structured file generated,"Run -w CAT=A --regex --yes; verify lines removed, footer updated",Matching lines removed; footer updated,Yes,See Status,PASS,2312 ms
TC-048,/mnt/e/workspace/rem_line_suit/utf8/test_suite/18_regex_delete,Regex Delete,[PASS] footer updated after regex delete,1000-line structured file generated,"Run -w CAT=A --regex --yes; verify lines removed, footer updated",Matching lines removed; footer updated,Yes,See Status,PASS,2312 ms
TC-049,/mnt/e/workspace/rem_line_suit/utf8/test_suite/19_regex_replace,Regex Replace,[PASS] regex replace works,11-line test file with ERROR/INFO/WARN lines,Run -w 'ERROR[0-9]+' --regex --replace-pos/txt; verify replacement,FIXED___ present; ERROR001 absent,Yes,See Status,PASS,108 ms
TC-050,/mnt/e/workspace/rem_line_suit/utf8/test_suite/19_regex_replace,Regex Replace,[PASS] original removed,11-line test file with ERROR/INFO/WARN lines,Run -w 'ERROR[0-9]+' --regex --replace-pos/txt; verify replacement,FIXED___ present; ERROR001 absent,Yes,See Status,PASS,108 ms
TC-051,/mnt/e/workspace/rem_line_suit/utf8/test_suite/20_preview_limit,Preview,[PASS] shows overflow indicator,1000-line structured file generated,Run -w CAT -n 3 --max-changes 0 --dry-run; verify overflow indicator shown,Overflow indicator '... +N more' shown after 3 results,Yes,See Status,PASS,2252 ms
TC-052,/mnt/e/workspace/rem_line_suit/utf8/test_suite/21_dry_run,Dry Run,[PASS] dry-run makes no changes,100-line structured file generated,Run -l 50 --dry-run; verify file unchanged after command,File content byte-identical before and after,Yes,See Status,PASS,341 ms
TC-053,/mnt/e/workspace/rem_line_suit/utf8/test_suite/21_dry_run,Dry Run,[PASS] line count preserved,100-line structured file generated,Run -l 50 --dry-run; verify file unchanged after command,File content byte-identical before and after,Yes,See Status,PASS,341 ms
TC-054,/mnt/e/workspace/rem_line_suit/utf8/test_suite/21_dry_run,Dry Run,[PASS] max-changes aborts on dry-run,100-line structured file generated,Run -l 50 --dry-run; verify file unchanged after command,File content byte-identical before and after,Yes,See Status,PASS,341 ms
TC-055,/mnt/e/workspace/rem_line_suit/utf8/test_suite/21_dry_run,Dry Run,[PASS] file unchanged after dry-run guard,100-line structured file generated,Run -l 50 --dry-run; verify file unchanged after command,File content byte-identical before and after,Yes,See Status,PASS,341 ms
TC-056,/mnt/e/workspace/rem_line_suit/utf8/test_suite/22_modified_tracking,Audit Trail,[PASS] modified file created,100-line structured file generated,Delete line; verify _modified_ created. Repeat with --no-modified; verify not created,_modified_ created with 1 line; --no-modified skips it but delete still applies,Yes,See Status,PASS,653 ms
TC-057,/mnt/e/workspace/rem_line_suit/utf8/test_suite/22_modified_tracking,Audit Trail,[PASS] modified file has 1 line,100-line structured file generated,Delete line; verify _modified_ created. Repeat with --no-modified; verify not created,_modified_ created with 1 line; --no-modified skips it but delete still applies,Yes,See Status,PASS,653 ms
TC-058,/mnt/e/workspace/rem_line_suit/utf8/test_suite/22_modified_tracking,Audit Trail,[PASS] --no-modified: no modified file created,100-line structured file generated,Delete line; verify _modified_ created. Repeat with --no-modified; verify not created,_modified_ created with 1 line; --no-modified skips it but delete still applies,Yes,See Status,PASS,653 ms
TC-059,/mnt/e/workspace/rem_line_suit/utf8/test_suite/22_modified_tracking,Audit Trail,[PASS] --no-modified: line still deleted,100-line structured file generated,Delete line; verify _modified_ created. Repeat with --no-modified; verify not created,_modified_ created with 1 line; --no-modified skips it but delete still applies,Yes,See Status,PASS,653 ms
TC-060,/mnt/e/workspace/rem_line_suit/utf8/test_suite/23_edge_cases,Edge Cases / Guards,[PASS] rejects out-of-range line,100-line structured file generated,"Test out-of-range line, non-existent file, max-changes guard, allowed_path presence",Out-of-range: error; no file: error; max-changes: abort with file unchanged; allowed_path function present,Yes,See Status,PASS,352 ms
TC-061,/mnt/e/workspace/rem_line_suit/utf8/test_suite/23_edge_cases,Edge Cases / Guards,[PASS] rejects non-existent file,100-line structured file generated,"Test out-of-range line, non-existent file, max-changes guard, allowed_path presence",Out-of-range: error; no file: error; max-changes: abort with file unchanged; allowed_path function present,Yes,See Status,PASS,352 ms
TC-062,/mnt/e/workspace/rem_line_suit/utf8/test_suite/23_edge_cases,Edge Cases / Guards,[PASS] max-changes guard fires on broad pattern,100-line structured file generated,"Test out-of-range line, non-existent file, max-changes guard, allowed_path presence",Out-of-range: error; no file: error; max-changes: abort with file unchanged; allowed_path function present,Yes,See Status,PASS,352 ms
TC-063,/mnt/e/workspace/rem_line_suit/utf8/test_suite/23_edge_cases,Edge Cases / Guards,[PASS] file unchanged after max-changes abort,100-line structured file generated,"Test out-of-range line, non-existent file, max-changes guard, allowed_path presence",Out-of-range: error; no file: error; max-changes: abort with file unchanged; allowed_path function present,Yes,See Status,PASS,352 ms
TC-064,/mnt/e/workspace/rem_line_suit/utf8/test_suite/23_edge_cases,Edge Cases / Guards,[PASS] allowed_path guard: function present and uses realpath,100-line structured file generated,"Test out-of-range line, non-existent file, max-changes guard, allowed_path presence",Out-of-range: error; no file: error; max-changes: abort with file unchanged; allowed_path function present,Yes,See Status,PASS,352 ms
TC-065,/mnt/e/workspace/rem_line_suit/utf8/test_suite/24_bulk_operations,Bulk Operations,[PASS] sequential deletes work,200-line structured file generated,"Delete lines 100, 99, 98 sequentially; verify each reduces count",Each delete reduces line count; counts strictly decreasing,Yes,See Status,PASS,744 ms
TC-066,/mnt/e/workspace/rem_line_suit/utf8/test_suite/25_footer_integrity,Footer Integrity,[PASS] footer accurate after multiple ops,200-line structured file generated,"Delete lines 50, 100, 150; verify footer number is exactly 197",Footer value equals 197 after deleting 3 lines from 200,Yes,See Status,PASS,747 ms
TC-067,/mnt/e/workspace/rem_line_suit/utf8/test_suite/26_color_output,Output Formatting,[PASS] color output has ANSI codes,100-line structured file generated,Run without --no-color (expect ANSI codes); run with --no-color (expect none),ANSI escape codes present by default; absent with --no-color,Yes,See Status,PASS,342 ms
TC-068,/mnt/e/workspace/rem_line_suit/utf8/test_suite/26_color_output,Output Formatting,[PASS] --no-color removes ANSI codes,100-line structured file generated,Run without --no-color (expect ANSI codes); run with --no-color (expect none),ANSI escape codes present by default; absent with --no-color,Yes,See Status,PASS,342 ms
TC-069,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: INFO deleted,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-070,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: ERROR replaced,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-071,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: backup exists,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-072,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: modified files exist,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-073,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: rollback command succeeds,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-074,/mnt/e/workspace/rem_line_suit/utf8/test_suite/27_complex_workflow,Integration,[PASS] workflow: rollback restores exact original content,11-line test file with ERROR/INFO/WARN lines,Delete INFO lines; replace ERROR; rollback; verify exact content restored,INFO gone; ERROR replaced; rollback restores byte-exact original,Yes,See Status,PASS,243 ms
TC-075,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run shows merge preview header,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-076,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run shows kept line number,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-077,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run shows absorbed line number,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-078,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run shows merged result label,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-079,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run states footer is unchanged,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-080,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] dry-run does not change file,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-081,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] merge reduces line count by 1,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-082,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] footer NOT changed after merge (record count unchanged),Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-083,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] merged content is on one line,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-084,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] absorbed fragment no longer a standalone line,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-085,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] surrounding lines intact,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-086,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] backup created,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-087,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] rejects merge into footer line,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-088,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] rejects --merge-next without -l,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-089,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] DOS merge: no embedded CR in merged line,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-090,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] DOS merge: CR preserved in line endings,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-091,/mnt/e/workspace/rem_line_suit/utf8/test_suite/28_merge_next,Merge,[PASS] DOS merge: line count reduced,Split-line structured file generated,"Test dry-run preview, real merge, footer unchanged, protected-line rejection, DOS CRLF preservation",Two lines joined into one; footer unchanged; DOS CR preserved; protected lines rejected,Yes,See Status,PASS,245 ms
TC-092,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: line count reduced,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-093,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: target line removed,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
